Model,Target Variable,Best Config,R2,MSE,Iterations to Converge
MLP,EE%,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'solver': 'adam'}",0.8336,12.5393,1618
MLP,DLC%,"{'activation': 'tanh', 'alpha': 1e-05, 'hidden_layer_sizes': (150, 75), 'solver': 'adam'}",0.3553,31.2691,2057
