Target Variable,Parameter Tested,Value,5-Fold CV Neg MSE,Test R2,Test MSE,Iterations Needed
EE%,hidden_layer_sizes,"(50, 25)",-28.6192,0.8954,11.3295,2270
EE%,hidden_layer_sizes,"(100, 50)",-27.5836,0.9091,9.8413,1470
EE%,hidden_layer_sizes,"(150, 75)",-32.6934,0.8997,10.8653,1492
EE%,hidden_layer_sizes,"(100, 100)",-24.6905,0.8734,13.7094,1399
EE%,hidden_layer_sizes,"(200, 100)",-26.1193,0.9308,7.4949,1299
EE%,hidden_layer_sizes,"(300, 150)",-26.5754,0.9153,9.1769,1036
EE%,activation,relu,-27.5836,0.9091,9.8413,1470
EE%,activation,tanh,-42.7364,0.8235,19.1149,2372
EE%,activation,logistic,-32.8872,0.7049,31.9575,4421
EE%,solver,adam,-27.5836,0.9091,9.8413,1470
EE%,solver,sgd,-20.2426,0.8721,13.8517,4213
EE%,solver,lbfgs,-40.0978,0.8727,13.7822,213
EE%,alpha,1e-05,-28.7062,0.9058,10.1989,1509
EE%,alpha,0.0001,-27.5836,0.9091,9.8413,1470
EE%,alpha,0.001,-27.4334,0.8991,10.9285,1673
EE%,alpha,0.01,-26.3408,0.8967,11.1854,1512
EE%,max_iter,2000,-27.5836,0.9091,9.8413,1470
EE%,max_iter,4000,-27.5836,0.9091,9.8413,1470
EE%,max_iter,6000,-27.5836,0.9091,9.8413,1470
EE%,learning_rate,constant,-20.2426,0.8721,13.8517,4213
EE%,learning_rate,invscaling,-21.7731,0.5843,45.0206,6000
EE%,learning_rate,adaptive,-20.2502,0.8718,13.884,4274
DLC%,hidden_layer_sizes,"(50, 25)",-17.3212,0.8901,7.4271,2893
DLC%,hidden_layer_sizes,"(100, 50)",-17.8783,0.8745,8.4834,1565
DLC%,hidden_layer_sizes,"(150, 75)",-22.1445,0.9104,6.0593,1296
DLC%,hidden_layer_sizes,"(100, 100)",-16.7694,0.8806,8.0709,1222
DLC%,hidden_layer_sizes,"(200, 100)",-16.5648,0.9246,5.0957,1298
DLC%,hidden_layer_sizes,"(300, 150)",-16.4951,0.9164,5.6502,1168
DLC%,activation,relu,-17.8783,0.8745,8.4834,1565
DLC%,activation,tanh,-26.2367,0.8224,12.0051,2459
DLC%,activation,logistic,-18.7834,0.6566,23.2141,5360
DLC%,solver,adam,-17.8783,0.8745,8.4834,1565
DLC%,solver,sgd,-11.3209,0.9042,6.4754,4915
DLC%,solver,lbfgs,-29.9439,0.7143,19.3127,263
DLC%,alpha,1e-05,-18.3644,0.9086,6.1774,1830
DLC%,alpha,0.0001,-17.8783,0.8745,8.4834,1565
DLC%,alpha,0.001,-17.6854,0.9008,6.705,1935
DLC%,alpha,0.01,-18.3212,0.8939,7.173,1667
DLC%,max_iter,2000,-17.8783,0.8745,8.4834,1565
DLC%,max_iter,4000,-17.8783,0.8745,8.4834,1565
DLC%,max_iter,6000,-17.8783,0.8745,8.4834,1565
DLC%,learning_rate,constant,-11.3209,0.9042,6.4754,4915
DLC%,learning_rate,invscaling,-14.411,0.5482,30.5412,6000
DLC%,learning_rate,adaptive,-11.327,0.9041,6.4816,4970
