Parameter Type,Target Variable,Best config,R2,MSE,Iteration
Hidden Layers,EE%,"Nodes_(150, 75)",0.8654,10.142,1318
Hidden Layers,DLC%,"Nodes_(150, 75)",0.8124,9.0986,1207
Activation,EE%,Activation_relu,0.7675,17.5175,1429
Activation,DLC%,Activation_relu,0.7783,10.7536,1294
Optimizer,EE%,Optimizer_adam,0.7675,17.5175,1429
Optimizer,DLC%,Optimizer_adam,0.7783,10.7536,1294
Alpha,EE%,Alpha_1e-05,0.7959,15.3786,1393
Alpha,DLC%,Alpha_0.0001,0.7783,10.7536,1294
Max Iter,EE%,MaxIter_2000,0.7675,17.5175,1429
Max Iter,DLC%,MaxIter_2000,0.7783,10.7536,1294
Learning Rate,EE%,LearningRate_invscaling,0.7695,17.3674,6000
Learning Rate,DLC%,LearningRate_invscaling,0.7114,13.9957,6000
