Parameter Type,Target Variable,Best config,R2,MSE,Iteration
Hidden Layers,EE%,"Nodes_(50, 25)",0.8318,12.673,2015
Hidden Layers,DLC%,"Nodes_(50, 25)",0.8372,7.8958,1918
Activation,EE%,Activation_relu,0.7852,16.1875,1596
Activation,DLC%,Activation_relu,0.7724,11.0397,1449
Optimizer,EE%,Optimizer_adam,0.7852,16.1875,1596
Optimizer,DLC%,Optimizer_adam,0.7724,11.0397,1449
Alpha,EE%,Alpha_1e-05,0.8184,13.6847,1628
Alpha,DLC%,Alpha_0.0001,0.7724,11.0397,1449
Max Iter,EE%,MaxIter_2000,0.7852,16.1875,1596
Max Iter,DLC%,MaxIter_2000,0.7724,11.0397,1449
Learning Rate,EE%,LearningRate_invscaling,0.7619,17.9367,6000
Learning Rate,DLC%,LearningRate_invscaling,0.7033,14.3931,6000
