Target Variable,Parameter Tested,Value,5-Fold CV Neg MSE,Test R2,Test MSE,Iterations Needed
EE%,hidden_layer_sizes,"(50, 25)",-49.7698,0.9119,9.5422,3444
EE%,hidden_layer_sizes,"(100, 50)",-48.9993,0.8862,12.3237,2122
EE%,hidden_layer_sizes,"(150, 75)",-37.5516,0.8605,15.1127,1802
EE%,hidden_layer_sizes,"(100, 100)",-44.3021,0.8427,17.0364,1566
EE%,hidden_layer_sizes,"(200, 100)",-41.4782,0.9022,10.5915,1295
EE%,hidden_layer_sizes,"(300, 150)",-37.6529,0.8724,13.8151,1133
EE%,activation,relu,-48.9993,0.8862,12.3237,2122
EE%,activation,tanh,-29.8186,0.8599,15.175,2050
EE%,activation,logistic,-47.1123,0.7097,31.4456,6000
EE%,solver,adam,-48.9993,0.8862,12.3237,2122
EE%,solver,sgd,-32.5866,0.8927,11.6165,3888
EE%,solver,lbfgs,-38.8199,0.833,18.0824,170
EE%,alpha,1e-05,-41.9226,0.9221,8.4334,3065
EE%,alpha,0.0001,-48.9993,0.8862,12.3237,2122
EE%,alpha,0.001,-40.6805,0.9587,4.4744,1734
EE%,alpha,0.01,-34.2369,0.7162,30.7343,1871
EE%,max_iter,2000,-48.9993,0.892,11.6979,2000
EE%,max_iter,4000,-48.9993,0.8862,12.3237,2122
EE%,max_iter,6000,-48.9993,0.8862,12.3237,2122
EE%,learning_rate,constant,-32.5866,0.8927,11.6165,3888
EE%,learning_rate,invscaling,-26.0863,0.6055,42.7247,6000
EE%,learning_rate,adaptive,-32.5796,0.8927,11.6217,3944
DLC%,hidden_layer_sizes,"(50, 25)",-27.1407,0.8766,8.3431,2639
DLC%,hidden_layer_sizes,"(100, 50)",-26.0151,0.8819,7.9832,2196
DLC%,hidden_layer_sizes,"(150, 75)",-21.1837,0.921,5.342,1682
DLC%,hidden_layer_sizes,"(100, 100)",-23.419,0.9038,6.5058,1241
DLC%,hidden_layer_sizes,"(200, 100)",-21.4114,0.9074,6.2608,1261
DLC%,hidden_layer_sizes,"(300, 150)",-19.799,0.9084,6.1934,1057
DLC%,activation,relu,-26.0151,0.8819,7.9832,2196
DLC%,activation,tanh,-18.3313,0.877,8.3123,1924
DLC%,activation,logistic,-25.6059,0.7308,18.1979,5930
DLC%,solver,adam,-26.0151,0.8819,7.9832,2196
DLC%,solver,sgd,-18.7218,0.9252,5.0533,1999
DLC%,solver,lbfgs,-36.1705,0.7079,19.7416,275
DLC%,alpha,1e-05,-27.6378,0.9085,6.1854,1525
DLC%,alpha,0.0001,-26.0151,0.8819,7.9832,2196
DLC%,alpha,0.001,-25.5163,0.9281,4.8592,1531
DLC%,alpha,0.01,-26.3685,0.8691,8.8468,1662
DLC%,max_iter,2000,-26.0151,0.8939,7.1692,2000
DLC%,max_iter,4000,-26.0151,0.8819,7.9832,2196
DLC%,max_iter,6000,-26.0151,0.8819,7.9832,2196
DLC%,learning_rate,constant,-18.7218,0.9252,5.0533,1999
DLC%,learning_rate,invscaling,-16.3872,0.5508,30.3657,6000
DLC%,learning_rate,adaptive,-18.7257,0.9252,5.0548,2055
