Target Variable,Parameter Tested,Value,5-Fold CV Neg MSE,Test R2,Test MSE,Iterations Needed
EE%,hidden_layer_sizes,"(50, 25)",-48.4823,0.6477,17.2566,1356
EE%,hidden_layer_sizes,"(100, 50)",-36.3528,0.6,19.5956,1044
EE%,hidden_layer_sizes,"(150, 75)",-28.8473,0.6584,16.7312,843
EE%,hidden_layer_sizes,"(100, 100)",-36.9453,0.6093,19.1391,771
EE%,hidden_layer_sizes,"(200, 100)",-38.0536,0.4983,24.5735,784
EE%,hidden_layer_sizes,"(300, 150)",-36.665,0.6234,18.4458,807
EE%,activation,relu,-36.3528,0.6,19.5956,1044
EE%,activation,tanh,-51.5783,0.301,34.2369,2225
EE%,activation,logistic,-83.9144,-0.1681,57.219,1676
EE%,solver,adam,-36.3528,0.6,19.5956,1044
EE%,solver,sgd,-38.8297,0.6716,16.0867,1192
EE%,solver,lbfgs,-34.2807,0.3828,30.2344,271
EE%,alpha,1e-05,-37.2154,0.5896,20.1013,1015
EE%,alpha,0.0001,-36.3528,0.6,19.5956,1044
EE%,alpha,0.001,-33.6439,0.5884,20.163,1103
EE%,alpha,0.01,-32.0086,0.5388,22.5901,1142
EE%,max_iter,2000,-36.3528,0.6,19.5956,1044
EE%,max_iter,4000,-36.3528,0.6,19.5956,1044
EE%,max_iter,6000,-36.3528,0.6,19.5956,1044
EE%,learning_rate,constant,-38.8297,0.6716,16.0867,1192
EE%,learning_rate,invscaling,-43.072,0.5163,23.6931,6000
EE%,learning_rate,adaptive,-38.8402,0.6698,16.1748,1247
DLC%,hidden_layer_sizes,"(50, 25)",-23.7463,0.7372,7.7882,1596
DLC%,hidden_layer_sizes,"(100, 50)",-18.6663,0.7267,8.098,995
DLC%,hidden_layer_sizes,"(150, 75)",-16.2837,0.768,6.8744,810
DLC%,hidden_layer_sizes,"(100, 100)",-22.2537,0.7249,8.1521,719
DLC%,hidden_layer_sizes,"(200, 100)",-24.6624,0.7187,8.3361,783
DLC%,hidden_layer_sizes,"(300, 150)",-21.9324,0.7526,7.332,669
DLC%,activation,relu,-18.6663,0.7267,8.098,995
DLC%,activation,tanh,-30.2764,0.5819,12.3894,2229
DLC%,activation,logistic,-43.4281,-0.2092,35.8338,1609
DLC%,solver,adam,-18.6663,0.7267,8.098,995
DLC%,solver,sgd,-19.3683,0.6994,8.9083,1570
DLC%,solver,lbfgs,-25.905,0.3454,19.3982,182
DLC%,alpha,1e-05,-20.9264,0.738,7.763,949
DLC%,alpha,0.0001,-18.6663,0.7267,8.098,995
DLC%,alpha,0.001,-20.6162,0.754,7.2897,924
DLC%,alpha,0.01,-18.3645,0.7384,7.7531,1044
DLC%,max_iter,2000,-18.6663,0.7267,8.098,995
DLC%,max_iter,4000,-18.6663,0.7267,8.098,995
DLC%,max_iter,6000,-18.6663,0.7267,8.098,995
DLC%,learning_rate,constant,-19.3683,0.6994,8.9083,1570
DLC%,learning_rate,invscaling,-26.1411,0.4089,17.5156,6000
DLC%,learning_rate,adaptive,-19.3715,0.698,8.9487,1626
