Target Variable,Parameter Tested,Value,5-Fold CV Neg MSE,Test R2,Test MSE,Iterations Needed
EE%,hidden_layer_sizes,"(50, 25)",-70.1185,0.9066,9.6248,2764
EE%,hidden_layer_sizes,"(100, 50)",-25.7303,0.9362,6.5715,2149
EE%,hidden_layer_sizes,"(150, 75)",-31.3424,0.9057,9.7229,1658
EE%,hidden_layer_sizes,"(100, 100)",-25.391,0.9203,8.2186,1956
EE%,hidden_layer_sizes,"(200, 100)",-24.8418,0.9162,8.637,1635
EE%,hidden_layer_sizes,"(300, 150)",-23.6648,0.9075,9.5376,1432
EE%,activation,relu,-25.7303,0.9362,6.5715,2149
EE%,activation,tanh,-32.1809,0.9774,2.3251,3030
EE%,activation,logistic,-67.1905,0.9079,9.495,6000
EE%,solver,adam,-25.7303,0.9362,6.5715,2149
EE%,solver,sgd,-16.1046,0.9243,7.8044,2277
EE%,solver,lbfgs,-34.6116,0.8989,10.4244,371
EE%,alpha,1e-05,-29.8874,0.9119,9.0767,2081
EE%,alpha,0.0001,-25.7303,0.9362,6.5715,2149
EE%,alpha,0.001,-29.8904,0.9149,8.7735,1833
EE%,alpha,0.01,-37.6403,0.9037,9.9238,1869
EE%,max_iter,2000,-27.3275,0.9393,6.2528,2000
EE%,max_iter,4000,-25.7303,0.9362,6.5715,2149
EE%,max_iter,6000,-25.7303,0.9362,6.5715,2149
EE%,learning_rate,constant,-16.1046,0.9243,7.8044,2277
EE%,learning_rate,invscaling,-34.7081,0.9706,3.0292,6000
EE%,learning_rate,adaptive,-16.0959,0.9241,7.8201,2332
DLC%,hidden_layer_sizes,"(50, 25)",-23.9287,0.9095,5.7121,2846
DLC%,hidden_layer_sizes,"(100, 50)",-17.9309,0.9172,5.2241,1532
DLC%,hidden_layer_sizes,"(150, 75)",-16.8248,0.919,5.1071,1438
DLC%,hidden_layer_sizes,"(100, 100)",-12.8276,0.9287,4.5004,1547
DLC%,hidden_layer_sizes,"(200, 100)",-12.6892,0.9225,4.8879,1357
DLC%,hidden_layer_sizes,"(300, 150)",-13.4159,0.9,6.3103,1394
DLC%,activation,relu,-17.9309,0.9172,5.2241,1532
DLC%,activation,tanh,-20.9252,0.8949,6.6287,2764
DLC%,activation,logistic,-39.3969,0.792,13.1228,4602
DLC%,solver,adam,-17.9309,0.9172,5.2241,1532
DLC%,solver,sgd,-9.3948,0.9168,5.2461,2589
DLC%,solver,lbfgs,-12.2185,0.8729,8.0185,306
DLC%,alpha,1e-05,-16.592,0.9204,5.0235,1758
DLC%,alpha,0.0001,-17.9309,0.9172,5.2241,1532
DLC%,alpha,0.001,-22.6805,0.8968,6.5115,1910
DLC%,alpha,0.01,-20.9164,0.918,5.1722,1716
DLC%,max_iter,2000,-17.9309,0.9172,5.2241,1532
DLC%,max_iter,4000,-17.9309,0.9172,5.2241,1532
DLC%,max_iter,6000,-17.9309,0.9172,5.2241,1532
DLC%,learning_rate,constant,-9.3948,0.9168,5.2461,2589
DLC%,learning_rate,invscaling,-23.2522,0.9659,2.1499,6000
DLC%,learning_rate,adaptive,-9.3917,0.9169,5.2431,2645
