Target Variable,Parameter Tested,Value,5-Fold CV Neg MSE,Test R2,Test MSE,Iterations Needed
EE%,hidden_layer_sizes,"(50, 25)",-28.5123,0.8193,8.8489,1076
EE%,hidden_layer_sizes,"(100, 50)",-26.5533,0.7926,10.1575,838
EE%,hidden_layer_sizes,"(150, 75)",-36.1654,0.8367,7.9969,636
EE%,hidden_layer_sizes,"(100, 100)",-41.8381,0.8584,6.934,589
EE%,hidden_layer_sizes,"(200, 100)",-55.7741,0.8175,8.94,619
EE%,hidden_layer_sizes,"(300, 150)",-41.7832,0.87,6.3664,555
EE%,activation,relu,-26.5533,0.7926,10.1575,838
EE%,activation,tanh,-40.4175,0.8224,8.699,1904
EE%,activation,logistic,-76.5724,-0.1188,54.8013,1720
EE%,solver,adam,-26.5533,0.7926,10.1575,838
EE%,solver,sgd,-49.7643,0.8173,8.9478,1008
EE%,solver,lbfgs,-21.0309,0.5234,23.3441,199
EE%,alpha,1e-05,-32.2105,0.8144,9.0891,798
EE%,alpha,0.0001,-26.5533,0.7926,10.1575,838
EE%,alpha,0.001,-27.5943,0.8009,9.753,821
EE%,alpha,0.01,-31.1471,0.8333,8.1642,853
EE%,max_iter,2000,-26.5533,0.7926,10.1575,838
EE%,max_iter,4000,-26.5533,0.7926,10.1575,838
EE%,max_iter,6000,-26.5533,0.7926,10.1575,838
EE%,learning_rate,constant,-49.7643,0.8173,8.9478,1008
EE%,learning_rate,invscaling,-42.1521,0.5373,22.6668,6000
EE%,learning_rate,adaptive,-49.6653,0.8163,8.999,1063
DLC%,hidden_layer_sizes,"(50, 25)",-18.0213,0.8352,4.8821,1194
DLC%,hidden_layer_sizes,"(100, 50)",-16.6382,0.8736,3.7453,947
DLC%,hidden_layer_sizes,"(150, 75)",-19.5658,0.8413,4.7017,726
DLC%,hidden_layer_sizes,"(100, 100)",-23.6722,0.8638,4.0375,705
DLC%,hidden_layer_sizes,"(200, 100)",-31.9515,0.8562,4.2622,614
DLC%,hidden_layer_sizes,"(300, 150)",-21.0375,0.8693,3.8737,523
DLC%,activation,relu,-16.6382,0.8736,3.7453,947
DLC%,activation,tanh,-26.4716,0.7019,8.8331,1508
DLC%,activation,logistic,-44.2895,-0.1628,34.457,1623
DLC%,solver,adam,-16.6382,0.8736,3.7453,947
DLC%,solver,sgd,-21.7214,0.8121,5.5686,1204
DLC%,solver,lbfgs,-12.6726,0.5752,12.5893,224
DLC%,alpha,1e-05,-15.459,0.8594,4.1677,829
DLC%,alpha,0.0001,-16.6382,0.8736,3.7453,947
DLC%,alpha,0.001,-17.0302,0.8252,5.181,857
DLC%,alpha,0.01,-15.6384,0.8609,4.1206,950
DLC%,max_iter,2000,-16.6382,0.8736,3.7453,947
DLC%,max_iter,4000,-16.6382,0.8736,3.7453,947
DLC%,max_iter,6000,-16.6382,0.8736,3.7453,947
DLC%,learning_rate,constant,-21.7214,0.8121,5.5686,1204
DLC%,learning_rate,invscaling,-24.8411,0.4337,16.7807,6000
DLC%,learning_rate,adaptive,-21.6631,0.8111,5.5992,1259
