Target Variable,Parameter Tested,Value,5-Fold CV Neg MSE,Test R2,Test MSE,Iterations Needed
EE%,hidden_layer_sizes,"(50, 25)",-29.464,0.956,3.66,1742
EE%,hidden_layer_sizes,"(100, 50)",-30.9786,0.9532,3.8953,1966
EE%,hidden_layer_sizes,"(150, 75)",-28.0637,0.9558,3.68,1514
EE%,hidden_layer_sizes,"(100, 100)",-24.1967,0.9516,4.0286,1547
EE%,hidden_layer_sizes,"(200, 100)",-25.3115,0.9454,4.548,1510
EE%,hidden_layer_sizes,"(300, 150)",-18.1447,0.9555,3.7032,1270
EE%,activation,relu,-30.9786,0.9532,3.8953,1966
EE%,activation,tanh,-46.0595,0.7396,21.6833,2228
EE%,activation,logistic,-77.1261,0.1516,70.6488,2814
EE%,solver,adam,-30.9786,0.9532,3.8953,1966
EE%,solver,sgd,-20.4357,0.8461,12.8125,2019
EE%,solver,lbfgs,-23.7779,0.843,13.0699,216
EE%,alpha,1e-05,-28.1818,0.9286,5.9453,2196
EE%,alpha,0.0001,-30.9786,0.9532,3.8953,1966
EE%,alpha,0.001,-24.3789,0.965,2.9116,2024
EE%,alpha,0.01,-24.3873,0.9695,2.5377,2059
EE%,max_iter,2000,-30.9786,0.9532,3.8953,1966
EE%,max_iter,4000,-30.9786,0.9532,3.8953,1966
EE%,max_iter,6000,-30.9786,0.9532,3.8953,1966
EE%,learning_rate,constant,-20.4357,0.8461,12.8125,2019
EE%,learning_rate,invscaling,-49.1068,0.7643,19.6246,6000
EE%,learning_rate,adaptive,-20.4483,0.8458,12.8387,2074
DLC%,hidden_layer_sizes,"(50, 25)",-18.0664,0.9205,4.1417,2075
DLC%,hidden_layer_sizes,"(100, 50)",-17.6017,0.9329,3.4941,1769
DLC%,hidden_layer_sizes,"(150, 75)",-16.126,0.9442,2.9057,1427
DLC%,hidden_layer_sizes,"(100, 100)",-12.4125,0.9528,2.4568,1540
DLC%,hidden_layer_sizes,"(200, 100)",-14.457,0.9176,4.2923,1384
DLC%,hidden_layer_sizes,"(300, 150)",-11.4517,0.937,3.2796,1121
DLC%,activation,relu,-17.6017,0.9329,3.4941,1769
DLC%,activation,tanh,-25.2089,0.7016,15.5434,2430
DLC%,activation,logistic,-47.4372,0.1262,45.5162,3069
DLC%,solver,adam,-17.6017,0.9329,3.4941,1769
DLC%,solver,sgd,-10.3329,0.8341,8.6408,2436
DLC%,solver,lbfgs,-17.1655,0.5843,21.6516,258
DLC%,alpha,1e-05,-16.8306,0.9364,3.3152,1826
DLC%,alpha,0.0001,-17.6017,0.9329,3.4941,1769
DLC%,alpha,0.001,-16.6564,0.9236,3.9776,1813
DLC%,alpha,0.01,-16.6701,0.9311,3.5892,1627
DLC%,max_iter,2000,-17.6017,0.9329,3.4941,1769
DLC%,max_iter,4000,-17.6017,0.9329,3.4941,1769
DLC%,max_iter,6000,-17.6017,0.9329,3.4941,1769
DLC%,learning_rate,constant,-10.3329,0.8341,8.6408,2436
DLC%,learning_rate,invscaling,-28.7871,0.6727,17.0497,6000
DLC%,learning_rate,adaptive,-10.3471,0.8335,8.6747,2491
